openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
2021-09-27 16:00:00,43662.70,43869.00,43639.79,43815.54,4314.387,1632731399999,188851151.65940,42475,2443.728,106972725.38411,0
2021-09-27 16:30:00,43815.53,43865.43,43690.76,43816.77,2702.712,1632733199999,118345205.90306,33578,1395.785,61128806.40389,0
2021-09-27 17:00:00,43816.29,44100.00,43758.24,43968.01,5248.454,1632734999999,230673799.92897,61166,2863.250,125855288.02569,0
2021-09-27 17:30:00,43968.01,43986.09,43330.00,43540.56,11803.793,1632736799999,514005324.11347,120938,5356.107,233213593.01598,0
2021-09-27 18:00:00,43540.56,43949.18,43491.06,43794.64,7956.841,1632738599999,348106008.13109,79030,4196.060,183560096.15103,0
2021-09-27 18:30:00,43794.64,43882.48,43707.29,43757.01,2695.521,1632740399999,118048692.32721,35677,1318.795,57759949.83921,0
2021-09-27 19:00:00,43757.00,43848.00,43569.09,43682.34,4362.943,1632742199999,190576544.85668,47737,2159.320,94321699.78436,0
2021-09-27 19:30:00,43682.35,43784.33,43550.00,43735.01,2826.719,1632743999999,123454986.80832,34676,1508.821,65902314.87113,0
2021-09-27 20:00:00,43735.00,43824.75,43355.00,43428.31,8374.586,1632745799999,364403148.98351,84286,4106.642,178697969.73582,0
2021-09-27 20:30:00,43428.32,43742.47,43206.20,43523.53,7560.078,1632747599999,328775193.81231,76641,3706.622,161277620.78740,0
2021-09-27 21:00:00,43523.53,43638.20,43444.45,43600.81,3135.304,1632749399999,136532406.82332,42146,1521.102,66252593.42849,0
2021-09-27 21:30:00,43600.81,43643.62,43301.90,43492.45,5388.793,1632751199999,234141825.59929,60006,2794.415,121415966.57542,0
2021-09-27 22:00:00,43492.14,43625.00,43410.00,43585.79,3604.312,1632752999999,156851798.67449,43140,1831.262,79693138.49549,0
2021-09-27 22:30:00,43585.79,44060.72,43060.00,43181.27,24101.339,1632754799999,1046358796.94255,207883,11734.042,509713437.44078,0
2021-09-27 23:00:00,43181.27,43280.00,43019.00,43178.63,10090.400,1632756599999,435207532.86559,97989,5149.137,222101265.87936,0
2021-09-27 23:30:00,43178.63,43321.42,43026.24,43266.54,6923.453,1632758399999,298880511.92296,65805,3574.401,154334478.56676,0
2021-09-28 00:00:00,43266.54,43389.95,43150.00,43234.75,6340.017,1632760199999,274315156.21072,66410,2833.844,122638742.89071,0
2021-09-28 00:30:00,43234.74,43313.42,42825.78,43052.34,9940.724,1632761999999,427604021.32865,99303,4499.285,193580989.19758,0
2021-09-28 01:00:00,43053.46,43215.79,42959.15,42966.23,5892.575,1632763799999,253900903.36307,61127,2872.378,123797240.06447,0
2021-09-28 01:30:00,42965.48,43142.10,42903.38,43036.09,3936.234,1632765599999,169419135.34702,47903,2032.534,87481160.92747,0
2021-09-28 02:00:00,43037.98,43199.00,42984.23,43142.91,3478.021,1632767399999,149989456.34600,39282,1840.557,79365101.53293,0
2021-09-28 02:30:00,43142.92,43146.49,42926.00,43013.00,3821.380,1632769199999,164304480.24994,40863,1764.573,75868886.64382,0
2021-09-28 03:00:00,43012.99,43130.31,42930.00,43106.06,2428.210,1632770999999,104513197.93114,30509,1244.380,53563772.90585,0
2021-09-28 03:30:00,43106.06,43170.00,42988.06,42994.80,2344.922,1632772799999,101030821.36818,27896,1149.558,49533745.07951,0
2021-09-28 04:00:00,42994.81,43005.22,42680.01,42860.25,8012.505,1632774599999,342919282.02376,75750,3687.539,157813954.29650,0
2021-09-28 04:30:00,42860.25,42927.51,42542.25,42660.02,5489.103,1632776399999,234525394.21053,54317,2348.973,100418929.61391,0
2021-09-28 05:00:00,42660.01,42877.39,42554.74,42814.01,3659.717,1632778199999,156381298.02949,41346,1964.738,83960482.97381,0
2021-09-28 05:30:00,42814.01,43145.00,42765.02,43047.80,4291.103,1632779999999,184375268.64632,44196,2475.605,106372366.00449,0
2021-09-28 06:00:00,43047.79,43320.22,42963.07,43281.95,4703.426,1632781799999,202970938.95853,47613,2759.918,119140003.16234,0
2021-09-28 06:30:00,43281.95,43398.57,42957.60,43141.04,5138.566,1632783599999,221710415.50593,49796,2362.656,101976906.64982,0
2021-09-28 07:00:00,43141.04,43209.10,42616.45,42656.24,5951.978,1632785399999,255344411.47437,53633,2386.388,102428874.06098,0
2021-09-28 07:30:00,42656.25,42787.46,42059.13,42122.69,15966.679,1632787199999,676024336.12089,134438,7498.601,317559560.74070,0
2021-09-28 08:00:00,42122.69,42359.76,41900.67,42223.93,11850.769,1632788999999,499364846.26926,101793,6055.695,255256132.97471,0
2021-09-28 08:30:00,42223.93,42415.08,42121.38,42304.03,5031.226,1632790799999,212673150.30160,48399,2666.729,112731767.65192,0
2021-09-28 09:00:00,42304.04,42317.99,42051.39,42182.53,4014.466,1632792599999,169319798.05788,42934,1909.036,80519330.01006,0
2021-09-28 09:30:00,42182.54,42524.00,42130.00,42425.85,5538.551,1632794399999,234763521.53637,54098,3190.397,135238693.28497,0
2021-09-28 10:00:00,42425.86,42588.92,42425.00,42527.51,4437.435,1632796199999,188615210.59948,45817,2422.727,102991082.28908,0
2021-09-28 10:30:00,42527.52,42539.58,42210.63,42400.07,4117.981,1632797999999,174472921.80400,42555,1769.266,74973879.42200,0
2021-09-28 11:00:00,42400.07,42558.03,42336.90,42451.94,3801.834,1632799799999,161430683.78355,40677,2079.187,88302271.19395,0
2021-09-28 11:30:00,42451.94,42599.94,42405.33,42527.00,2644.592,1632801599999,112379385.22739,29591,1393.630,59234218.32801,0
